0	1	2	        3	    4	5	6	    7	8	    9	    10	11	    12	13	    14	15	        16	17	18	19	            20	21	22	23	24	25	   26	       27	    28	   29	       date
%	0	иностр.A%	5	1.99%	5	32.9%	5	8.96%	3		3.5	25.88	5	1.37%	4	 млн грн	4	%	4	с 1993-02-10	5	0	5	4.5	4.4	188.67 млн грн	7.72 млн долл	11.01% грн	5.47% долл	2016-01-01
%	0	иностр.A%	5	1.29%	5	36.95%	5	6.99%	3		2.9	46.8	2	0.85%	3	 млн грн	4.5	%	5	с 2000-12-28	4	0	5	3.8	4.3	296.82 млн грн	11.98 млн долл	24.6% грн	17.99% долл	2016-01-01
%	0	иностр.A%	5	0.07%	3	5.91%	1	4.15%	2		4	26.12	5	2.72%	5	 млн грн	3.5	%	3	с 1991-10-28	5	0	5	3.5	4.3	528.9 млн грн	-12.35 млн долл	12.92% грн	-4.53% долл	2016-01-01
%	0	иностр.A%	5	1.57%	5	20.9%	4	10.03%	4		2.8	36.45	3	0.68%	3	 млн грн	3.5	%	3.5	с 1992-03-31	5	0	5	4	4	282.53 млн грн	-0.18 млн долл	21.09% грн	-0.39% долл	2016-01-01
%	0	иностр.A%	5	-2.93%	2	29.63%	5	12.23%	5		4.6	35.89	3	4.04%	5	 млн грн	3.5	%	2.5	с 1992-03-27	5	0	5	4.1	4.2	727.48 млн грн	-13.42 млн долл	8.83% грн	-4.3% долл	2016-01-01
%	0	гос.%	    3	 -8.54%	2	22.35%	4	4.61%	2		4.9	35.48	3	13.49%	5	 млн грн	5	%	5	с 1991-12-31	5	реструкт	3	3.1	4.6	7461.54 млн грн	85.08 млн долл	26.48% грн	12.55% долл	2016-01-01
%	0	гос.%	    3     0.83%	4	12.24%	2	10.33%	4		4.2	29.45	4	2.74%	5	 млн грн	5	%	5	с 1993-07-21	5	нв-/рк-/ва-	2	3.5	4.4	1145.34 млн грн	24.73 млн долл	27.47% грн	11.72% долл	2016-01-01
%	0	иностр.B%	4	-13.35%	1	5.5%	1	7.78%	3		3.8	45.28	2	2.21%	4	 млн грн	4.5	%	4.5	с 1998-03-02	4	0	5	2.5	4.4	342.54 млн грн	6.76 млн долл	14.16% грн	2.74% долл	2016-01-01
%	0	гос.%	    3	-10.57%	2	3.97%	1	-2.21%	1		4.8	16.88	5	6.1%	5	 млн грн	3.5	%	3	с 1992-01-23	5	реструкт	3	2.9	3.9	601.05 млн грн	-11.85 млн долл	8.45% грн	-1.68% долл	2016-01-01
%	0	сист.%	    2	0.09%	3	19.43%	3	10.38%	4		5	58.42	1	34.68%	5	 млн грн	5	%	4	с 1992-03-19	5	реструкт	3	2.9	4.4	8778.74 млн грн	10.84 млн долл	15.21% грн	0.36% долл	2016-01-01
%	0	отечеств.%	1	-4.8%	2	7.7%	2	9.74%	3		4.5	41.2	2	3.5%	5	 млн грн	3	%	2.5	с 1991-12-23	5	тд-	4	2.3	3.9	1097.18 млн грн	-27.88 млн долл	23.28% грн	-7.55% долл	2016-01-01
%	0	иностр.A%	5	-6.29%	2	27.45%	4	25.34%	5		4.4	33.66	3	3.41%	5	 млн грн	3.5	%	3	с 1991-09-27	5	0	5	3.9	4.3	948.06 млн грн	-11.83 млн долл	18.94% грн	-3.57% долл	2016-01-01
%	0	иностр.С%	2	-6.72%	2	22.73%	4	6.19%	3		4.3	30.99	4	3.08%	5	 млн грн	3.5	%	2.5	с 1993-03-24	5	тд-	4	3.2	4	537.54 млн грн	-15.5 млн долл	10.92% грн	-5.15% долл	2016-01-01
%	0	иностр.Кв.%	2	0.3%	3	18.63%	3	9.33%	3		2.1	23.53	5	0.47%	2	 млн грн	3.5	%	4	с 1991-10-28	5	0	5	3.1	3.9	101.9 млн грн	1.04 млн долл	11.66% грн	2.8% долл	2016-01-01
%	0	иностр.A%	5	-16.2%	1	14.59%	3	35.09%	5		1.8	52.52	1	0.42%	1	 млн грн	2	%	1.5	с 1992-12-29	5	0	5	2.8	2.9	-13.04 млн грн	-6.55 млн долл	-1.6% грн	-15.12% долл	2016-01-01
%	0	отечеств.%	1	0.6%	4	38.24%	5	3.01%	1		1.6	26.47	5	0.35%	1	 млн грн	3	%	2.5	с 2008-03-11	2	0	5	2.9	2.7	12.15 млн грн	-1.75 млн долл	7.09% грн	-3.3% долл	2016-01-01
%	0	отечеств.%	1	0.3%	3	32.52%	5	10.27%	4		3.4	30.7	4	1.35%	4	 млн грн	4.5	%	5	с 1993-12-03	5	0	5	3.3	4.7	459.69 млн грн	9.05 млн долл	32.34% грн	6.56% долл	2016-01-01
%	0	иностр.A%	5	-10.33%	2	12.79%	2	5.38%	2		2	66.34	1	0.44%	1	 млн грн	2.5	%	2	с 1991-10-22	5	0	5	2.4	3.1	89.62 млн грн	-4.44 млн долл	6.41% грн	-28.93% долл	2016-01-01
%	0	отечеств.%	1	0.03%	3	17.22%	3	9.07%	3		1.2	32.82	3	0.28%	1	 млн грн	2.5	%	3	с 1991-10-21	5	0	5	2.3	3.3	243.67 млн грн	-10.45 млн долл	67.15% грн	-32.06% долл	2016-01-01
%	0	иностр.B%	4	-3.94%	2	23.12%	4	12.42%	5		1.1	40.96	2	0.28%	1	 млн грн	3.5	%	3.5	с 1993-11-05	5	0	5	3	3.6	20.68 млн грн	0.33 млн долл	6.64% грн	1.01% долл	2016-01-01
%	0	отечеств.%	1	3.75%	5	14.87%	3	0.42%	1		3.1	49.38	2	0.93%	3	 млн грн	2.5	%	2.5	с 1993-07-07	5	0	5	2.4	3.6	183.21 млн грн	-10.29 млн долл	14.13% грн	-9.99% долл	2016-01-01
%	0	иностр.С%	2	-12.84%	1	5.79%	1	4.38%	2		3.9	21.36	5	2.65%	5	 млн грн	2	%	2.5	с 2001-06-15	4	0	5	2.6	3.7	96.1 млн грн	-20.36 млн долл	5.99% грн	-5.22% долл	2016-01-01
%	0	отечеств.%	1	-0.05%	2	42.18%	5	5.25%	2		2.2	28.96	4	0.49%	2	 млн грн	3	%	3	с 1993-11-17	5	0	5	2.7	3.6	182.74 млн грн	-1.75 млн долл	23.89% грн	-4.02% долл	2016-01-01
%	0	иностр.B%	4	-33.33%	1	15.44%	3	11.39%	4		2.5	40.84	2	0.53%	2	 млн грн	3	%	3.5	с 1994-01-20	5	0	5	2.8	3.7	96.05 млн грн	-0.68 млн долл	17.27% грн	-1.11% долл	2016-01-01
%	0	отечеств.%	1	0.9%	4	11.14%	2	6.47%	3		2.3	32.31	3	0.5%	2	 млн грн	3	%	3	с 2002-10-17	4	0	5	2.5	3.4	78.73 млн грн	-2.95 млн долл	22.9% грн	-4.32% долл	2016-01-01
%	0	отечеств.%	1	0.84%	4	20.04%	4	29.81%	5		1.4	60.16	1	0.3%	1	 млн грн	3	%	2.5	с 1991-10-16	5	0	5	2.6	3.3	48.68 млн грн	-0.91 млн долл	11.03% грн	-3.01% долл	2016-01-01
%	0	отечеств.%	1	1.87%	5	55.87%	5	8.17%	3		2.7	80.38	1	0.62%	2	 млн грн	3.5	%	4.5	с 1992-10-30	5	0	5	2.8	4	246.62 млн грн	2.94 млн долл	21.48% грн	7.08% долл	2016-01-01
%	0	иностр.С%	2	-14.65%	1	4.49%	1	3.29%	1		3.2	18.48	5	1.15%	4	 млн грн	3.5	%	3.5	с 1992-11-11	5	0	5	2.3	4.2	135.61 млн грн	0.04 млн долл	8.27% грн	0.04% долл	2016-01-01
%	0	отечеств.%	1	0.24%	3	2.93%	1	9.99%	3		1.7	31.13	4	0.38%	1	 млн грн	2.5	%	1.5	с 2005-08-09	3	0	5	2.3	2.6	-13.98 млн грн	-2.17 млн долл	-9.73% грн	-3.59% долл	2016-01-01
%	0	отечеств.%	1	-14.72%	1	5.22%	1	17.71%	5		2.6	38.06	3	0.61%	2	 млн грн	3.5	%	3.5	с 1991-10-02	5	нв	1	2.2	3	313.17 млн грн	-1.42 млн долл	31.73% грн	-2.92% долл	2016-01-01
%	0	иностр.С%	2	-42.99%	1	9.2%	2	-29.46%	1		3.7	14.82	5	2%	    4	 млн грн	2.5	%	2	с 1992-08-26	5	нв,ва-	1	2.5	2.9	213.5 млн грн	-16.66 млн долл	6.27% грн	-8.38% долл	2016-01-01
%	0	отечеств.%	1	-3.11%	2	13.78%	2	14.28%	5		1.5	55.19	1	0.35%	1	 млн грн	3.5	%	4	с 2013-06-14	1	0	5	2	2.9	19.56 млн грн	2.71 млн долл	2.15% грн	15.66% долл	2016-01-01
%	0	отечеств.%	1	-2.14%	2	1.94%	1	17.47%	5		1	41.14	2	0.27%	1	 млн грн	2	%	1	с 2002-10-17	4	нв	1	2	1.8	-5.05 млн грн	-3.62 млн долл	-6.4% грн	-7.91% долл	2016-01-01
%	0	иностр.С%	2	-7.33%	2	4.48%	1	2.39%	1		3.3	71.16	1	1.24%	4	 млн грн	3	%	2.5	с 2005-01-13	3	нв	1	1.7	2.7	454.5 млн грн	-5.85 млн долл	16.21% грн	-7.56% долл	2016-01-01
