bank,funding_score,profitability,prof_score,liquidity,liquidity_score,capital,capital_score,operation scale,dependence_on_individuals,dependence_on_individuals_score,share_on_deposit_market,share_on_deposit_market_score,absolute_growth_deposit_score,relative_growth_deposit_score,expirience,reputation,stress_resistance,depositor_loyalty,absolute_grn_growth,absolute_usd_growth,relative_grn_growth,relative_usd_growth,date
credit agricole,5,0.42%,4,25.49%,5,12.05%,3,3.7,0,0,1%,3,4,5,5,5,4.4,4.4,млн грн,млн долл,% грн,% долл,2013-04-01
oschad bank,5,0.16%,3,16.68%,3,21.19%,5,4.9,0,0,8.34%,5,5,4,5,5,3.8,4.8,млн грн,млн долл,% грн,% долл,2013-04-01
Delta bank,5,0.3%,4,25.4%,5,9.09%,2,4.6,0,0,4.12%,5,5,5,3,5,3.9,4.6,млн грн,млн долл,% грн,% долл,2013-04-01
Sberbank,5,0.5%,4,9.21%,2,10.96%,3,4.3,0,0,2.77%,4,5,5,4,5,3.8,4.6,млн грн,млн долл,% грн,% долл,2013-04-01
Privatbank,5,0.36%,4,17.88%,4,10.84%,3,5,0,0,22.34%,5,5,3,5,5,3.8,4.6,млн грн,млн долл,% грн,% долл,2013-04-01
ukrsibbank,5,0.02%,3,26.77%,5,10.17%,3,4.1,0,0,2.73%,4,4,3,5,5,4.1,4.2,млн грн,млн долл,% грн,% долл,2013-04-01
urksocbank,5,0.01%,3,14.94%,3,19.49%,5,4.6,0,0,3.15%,5,4,3,5,5,3.5,4.4,млн грн,млн долл,% грн,% долл,2013-04-01
sense bank,5,0.02%,3,23.3%,4,14.77%,3,4.3,0,0,2.5%,4,5,4,5,3,3.7,4.2,млн грн,млн долл,% грн,% долл,2013-04-01
ukreximbank,5,0.05%,3,21.03%,4,19.99%,5,4.9,0,0,4.1%,5,3,3,5,5,3.7,4.2,млн грн,млн долл,% грн,% долл,2013-04-01
raifizen bank aval,5,0.18%,3,16.13%,3,14.68%,3,4.8,0,0,4.2%,5,5,3,5,5,3.3,4.6,млн грн,млн долл,% грн,% долл,2013-04-01
vtb bank,5,0.24%,3,14.86%,3,10.84%,3,4.5,0,0,1.79%,3,5,4,5,5,3.4,4.4,млн грн,млн долл,% грн,% долл,2013-04-01
Pivdencombank,5,0.03%,3,25.82%,5,6.23%,1,2.7,0,0,0.57%,2,4,5,5,4,3.8,4,млн грн,млн долл,% грн,% долл,2013-04-01
praveks bank,5,11.15%,5,26.39%,5,18.31%,5,2.8,0,0,0.67%,2,3,4,5,5,3.9,3.8,млн грн,млн долл,% грн,% долл,2013-04-01
VAB bank,4,0%,3,12.88%,3,9.93%,2,3.8,0,0,1.8%,3,4,4,5,5,3.4,4.2,млн грн,млн долл,% грн,% долл,2013-04-01
pumb,4,0.31%,4,19.76%,4,14.23%,3,4.4,0,0,2.77%,4,5,3,5,3,3.5,4,млн грн,млн долл,% грн,% долл,2013-04-01
Prominvestbank,5,0.03%,3,8.04%,2,12.41%,3,4.7,0,0,2.01%,4,2,2,5,4,3.9,3.4,млн грн,млн долл,% грн,% долл,2013-04-01
Terra bank,5,0.01%,3,27.63%,5,15.57%,4,2,0,0,0.37%,1,3,3,4,5,4.1,3.2,млн грн,млн долл,% грн,% долл,2013-04-01
UPB,3,0.3%,4,24.2%,4,17.52%,4,1.9,0,0,0.31%,1,3,4,5,5,3.7,3.6,млн грн,млн долл,% грн,% долл,2013-04-01
otp bank,5,0.03%,3,18.87%,4,16.07%,4,3.9,0,0,1.46%,3,3,3,4,5,3.6,3.6,млн грн,млн долл,% грн,% долл,2013-04-01
Procredit bank,5,0.34%,4,19.61%,4,11.73%,3,1.2,0,0,0.31%,1,3,4,4,5,3.8,3.4,млн грн,млн долл,% грн,% долл,2013-04-01
Gorodskoy commerce bank,5,0.02%,3,33.61%,5,6.08%,1,1.8,0,0,0.39%,1,4,5,3,5,3.6,3.6,млн грн,млн долл,% грн,% долл,2013-04-01
Ukrgazbank,5,2.11%,5,13.57%,3,19.97%,5,4,0,0,1.44%,3,4,3,5,2,3.7,3.4,млн грн,млн долл,% грн,% долл,2013-04-01
UKRBuisness bank,4,0.24%,3,14.32%,3,8.38%,2,2.3,0,0,0.46%,1,3,5,5,5,3.3,3.8,млн грн,млн долл,% грн,% долл,2013-04-01
Pivdenny,3,0.07%,3,9.69%,2,15.73%,4,3.5,0,0,1.03%,3,3,3,5,5,3.3,3.8,млн грн,млн долл,% грн,% долл,2013-04-01
forward bank,5,0.24%,3,15.28%,3,8.88%,2,1.6,0,0,0.37%,1,5,5,3,5,3.2,3.8,млн грн,млн долл,% грн,% долл,2013-04-01
