credit agricole,oschad bank,Delta bank,Sberbank,Privatbank,ukrsibbank,urksocbank,sense bank,ukreximbank,raifizen bank aval,vtb bank,Pivdencombank,praveks bank,VAB bank,pumb,Prominvestbank,Terra bank,UPB,otp bank,Procredit bank,Gorodskoy commerce bank,Ukrgazbank,UKRBuisness bank,Pivdenny,forward bank,Nadra,Universal Bank,finance initiative,brolbuisnesbank,Diamond bank,Active bank,finance and credit,Forum Bank,Kyivskaya rus,Chreschatyk,Ukrinbank,BTA bank,National investments,Mega bank,Idea bank,Imbeks bank,Zlatobank,Taskombank,Express bank,Eurogasbank,Abank,Vseukrainsky bank for development,Industrialbank,Bank credit Dnepr,MTB bank,Kredo bank,Buisness bank,Akta bank,Platinum bank,FideComBank,KreditPromBank
3.21%,21.84%,15.9%,7.1%,20.68%,7.52%,33.11%,15.86%,25.29%,39.41%,23.39%,3.6%,33.09%,12.18%,23.5%,6.7%,1.52%,5.44%,24.73%,5.62%,4.38%,57.81%,4.39%,7.56%,9.88%,18.9%,10.93%,20.69%,3.72%,2.54%,3.44%,9.35%,36.44%,3.22%,9.03%,5.54%,10.3%,6.91%,6.12%,12.42%,15.78%,7.04%,3.3%,12.16%,4.11%,20.94%,0.88%,19.6%,9.14%,31.71%,11.66%,2.93%,4.1%,17.3%,28.72%,21.81%
5,2,3,4,2,4,1,3,1,1,2,5,1,4,2,5,5,5,2,5,5,1,5,4,4,3,4,2,5,5,5,4,1,5,4,5,4,5,5,4,3,4,5,4,5,2,5,3,4,1,4,5,5,3,1,2
14.08%,1.76%,89.37%,10.12%,46.67%,-44.08%,-10.23%,-0.82%,-0.76%,0.05%,-2.62%,59.23%,4.27%,30.68%,20.02%,-3.84%,47.9%,0.27%,-1.24%,6.66%,47.53%,36.47%,28.91%,2.06%,29.99%,329.28%,-9.09%,-0.38%,1.51%,29.44%,0%,1.96%,12.35%,25.64%,2.97%,-1.05%,0%,49.96%,8.36%,4.42%,11.89%,41.22%,19.83%,0%,20.69%,20.06%,78.93%,0%,30.25%,15.91%,0.11%,0%,16.12%,-3.46%,-13.73%,-6.78%
5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,3,5,5,5,5,4,3,5,5,5,2,3,4,3,3,4,4,3,2,3,5,3,5,4,5,4,2,4,4,5,3,4,5,5,3,4,2,1,1
0.42%,0.16%,0.3%,0.5%,0.36%,0.02%,0.01%,0.02%,0.05%,0.18%,0.24%,0.03%,11.15%,0%,0.31%,0.03%,0.01%,0.3%,0.03%,0.34%,0.02%,2.11%,0.24%,0.07%,0.24%,0%,0.32%,0%,0.02%,0%,0%,0.01%,0.02%,0.01%,0.02%,0.02%,0.06%,0.06%,0.01%,0.05%,0.02%,0%,1.48%,0.17%,0.02%,0.06%,0.07%,0.18%,0.01%,0.02%,-0.84%,0.02%,0%,0.9%,0.04%,-1.2%
4,3,4,4,4,3,3,3,3,3,3,3,5,3,4,3,3,4,3,4,3,5,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,2,3,3,4,3,1
25.49%,16.68%,25.4%,9.21%,17.88%,26.77%,14.94%,23.3%,21.03%,16.13%,14.86%,25.82%,26.39%,12.88%,19.76%,8.04%,27.63%,24.2%,18.87%,19.61%,33.61%,13.57%,14.32%,9.69%,15.28%,6.16%,11.42%,11.73%,5.12%,20.02%,15.74%,10.21%,6.86%,16.19%,18.84%,6.06%,51.63%,5.77%,15.3%,15.61%,7.15%,6.61%,15.67%,53.09%,6.74%,50.84%,16.85%,27.04%,6.42%,43.27%,10.27%,12.56%,41.38%,6.11%,13.08%,7.3%
5,3,5,2,4,5,3,4,4,3,3,5,5,3,4,2,5,4,4,4,5,3,3,2,3,2,3,3,1,4,3,2,2,3,4,2,5,1,3,3,2,2,3,5,2,5,3,5,2,5,2,3,5,2,3,2
12.05%,21.19%,9.09%,10.96%,10.84%,10.17%,19.49%,14.77%,19.99%,14.68%,10.84%,6.23%,18.31%,9.93%,14.23%,12.41%,15.57%,17.52%,16.07%,11.73%,6.08%,19.97%,8.38%,15.73%,8.88%,14.44%,9.26%,18%,16.79%,7.42%,18.34%,8.77%,15.92%,8.7%,8.51%,10.93%,27.11%,7.15%,13.32%,13.28%,14.36%,5.93%,12.96%,15.42%,9.27%,9.24%,7.8%,24.89%,7.97%,15.56%,14.87%,11.93%,8.99%,11.5%,21.37%,17.57%
3,5,2,3,3,3,5,3,5,3,3,1,5,2,3,3,4,4,4,3,1,5,2,4,2,3,2,5,4,1,5,2,4,2,2,3,5,1,3,3,3,1,3,4,2,2,1,5,1,4,3,3,2,3,5,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.7,4.9,4.6,4.3,5,4.1,4.6,4.3,4.9,4.8,4.5,2.7,2.8,3.8,4.4,4.7,2,1.9,3.9,1.2,1.8,4,2.3,3.5,1.6,4.2,3.1,3.5,3.8,2.1,1.4,4.1,3.3,3,3.3,2.6,2.9,1.5,2.5,1.1,3.4,2.7,1.3,1.4,1.7,1,2.5,1.7,3.2,2.2,2.2,1.1,2.4,1.9,3,3.6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1%,8.34%,4.12%,2.77%,22.34%,2.73%,3.15%,2.5%,4.1%,4.2%,1.79%,0.57%,0.67%,1.8%,2.77%,2.01%,0.37%,0.31%,1.46%,0.31%,0.39%,1.44%,0.46%,1.03%,0.37%,0.96%,0.69%,0.63%,2%,0.4%,0.31%,2.34%,1.14%,0.83%,0.88%,0.59%,0.3%,0.29%,0.42%,0.39%,0.94%,0.54%,0.27%,0.31%,0.34%,0.26%,0.32%,0.3%,1.04%,0.33%,0.49%,0.26%,0.47%,0.59%,0.38%,1.14%
3,5,5,4,5,4,5,4,5,5,3,2,2,3,4,4,1,1,3,1,1,3,1,3,1,2,2,2,4,1,1,4,3,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,3,1,1,1,1,2,1,3
637.47 млн грн,2732.97 млн грн,2757.48 млн грн,1769.57 млн грн,1457.25 млн грн,355.02 млн грн,686.14 млн грн,988.01 млн грн,203.78 млн грн,963.35 млн грн,771.3 млн грн,284.64 млн грн,201.63 млн грн,639.01 млн грн,701.36 млн грн,-181.94 млн грн,20.97 млн грн,97.32 млн грн,154.6 млн грн,104.16 млн грн,339.35 млн грн,325.67 млн грн,240.9 млн грн,104.69 млн грн,712.3 млн грн,636.97 млн грн,88.17 млн грн,735.16 млн грн,-94.38 млн грн,150.43 млн грн,111.98 млн грн,275.74 млн грн,292.39 млн грн,227 млн грн,75.59 млн грн,199.33 млн грн,-25.3 млн грн,203.66 млн грн,62.47 млн грн,104.45 млн грн,643.54 млн грн,277.76 млн грн,71.69 млн грн,67.21 млн грн,185.96 млн грн,122.22 млн грн,116.9 млн грн,-18.02 млн грн,-1.09 млн грн,-118 млн грн,-22.66 млн грн,66.42 млн грн,-490.42 млн грн,-220.82 млн грн,-75.27 млн грн,-326.07 млн грн
4,5,5,5,5,4,4,5,3,5,5,4,3,4,5,2,3,3,3,3,4,4,3,3,5,4,3,5,2,3,3,4,4,3,3,3,2,3,3,3,4,4,3,3,3,3,3,2,2,2,2,3,1,2,2,2
19.39%,9.15%,20.65%,19.55%,1.7%,3.44%,5.89%,11.27%,1.29%,6.24%,12.4%,14.79%,8.35%,9.97%,6.92%,-2.26%,1.49%,8.69%,2.79%,9.31%,28.94%,6.15%,15.31%,2.66%,96.81%,20.57%,3.39%,42.46%,-1.19%,10.54%,10.34%,3.11%,7.01%,7.56%,2.24%,9.49%,-2.1%,21.86%,3.95%,7.28%,21.28%,15.04%,7.38%,5.92%,16.44%,13.78%,10.49%,-1.51%,-0.03%,-8.49%,-1.16%,6.91%,-21.24%,-8.68%,-4.87%,-6.84%
5,4,5,5,3,3,3,4,3,3,4,5,4,4,3,2,3,4,3,4,5,3,5,3,5,5,3,5,2,4,4,3,3,3,3,4,2,5,3,3,5,5,3,3,5,4,4,2,2,2,2,3,1,2,2,2
с 1993-02-10,с 1991-12-31,с 2006-02-14,с 2001-06-15,с 1992-03-19,с 1991-10-28,с 1991-09-27,с 1993-03-24,с 1992-01-23,с 1992-03-27,с 1992-11-11,с 1991-10-03,с 1992-12-29,с 1992-07-02,с 1991-12-23,с 1992-08-26,с 1996-10-18,с 1992-01-30,с 1998-03-02,с 2000-12-28,с 2006-05-05,с 1993-07-21,с 1993-05-18,с 1993-12-03,с 2006-02-28,с 1993-10-26,с 2001-11-19,с 2005-01-19,с 1991-10-07,с 1993-11-17,с 2002-08-06,с 1991-10-30,с 1994-01-31,с 1996-05-30,с 1993-05-19,с 1991-10-02,с 1992-12-10,с 1993-11-05,с 1991-10-28,с 1991-10-22,с 1994-03-29,с 2008-05-16,с 2005-09-20,с 1994-04-12,с 2007-12-27,с 1992-10-30,с 2009-04-30,с 1991-10-16,с 1993-07-07,с 1993-11-05,с 1992-03-31,с 2005-08-09,с 2008-04-23,с 2005-01-13,с 2006-01-25,с 1997-05-20
5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,3,5,5,5,3,5,4,3,5,5,4,5,5,4,5,5,5,5,5,5,5,2,3,5,3,5,2,5,5,5,5,3,2,3,3,4
0,0,0,0,0,0,0,тд,0,0,0,та,0,0,тд,та,0,0,0,0,0,нв/рк/та,0,0,0,нв/тд,0,0,0,0,0,тд,0,0,0,0,0,0,0,0,нв,0,0,0,0,0,0,0,0,0,0,0,0,0,0,тд
5,5,5,5,5,5,5,3,5,5,5,4,5,5,3,4,5,5,5,5,5,2,5,5,5,2,5,5,5,5,5,3,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3
4.4,3.8,3.9,3.8,3.8,4.1,3.5,3.7,3.7,3.3,3.4,3.8,3.9,3.4,3.5,3.9,4.1,3.7,3.6,3.8,3.6,3.7,3.3,3.3,3.2,3.4,3.6,3,3.4,3.3,3.5,3.1,2.8,3.4,3.2,3,3.8,3,3.3,3.3,3.1,3.1,3.6,3.2,3.1,2.9,3.4,3.4,3,3.3,3.2,3.1,3.7,2.6,2.5,2.2
4.4,4.8,4.6,4.6,4.6,4.2,4.4,4.2,4.2,4.6,4.4,4,3.8,4.2,4,3.4,3.2,3.6,3.6,3.4,3.6,3.4,3.8,3.8,3.8,3.6,3.4,4,3.6,3.6,3.4,3.8,4,3.4,3.6,3.8,3,3.8,3.4,3.4,3.6,3.6,3,3.4,3.4,3.6,3,3,3.4,3,3,3,2,2.8,2.6,2.8
