raifizen bank aval ,ukreximbank    ,oschad bank     ,ukrsibbank     ,credit agricole ,vtb bank       ,urksocbank     ,pumb           ,sense bank      ,otp bank       ,Sberbank        ,finance and credit ,VAB bank       ,UPB           ,Procredit bank ,Prominvestbank ,Chreschatyk   ,Vseukrainsky bank for development ,brolbuisnesbank ,Privatbank      ,praveks bank   ,finance initiative ,BTA bank      ,UKRBuisness bank ,Mega bank      ,Nadra          ,Pivdencombank ,Kredo bank    ,Bank credit Dnepr ,Pivdenny       ,Terra bank     ,Imbeks bank    ,Express bank ,National investments ,Delta bank      ,Kyivskaya rus  ,Forum Bank     ,Abank          ,forward bank   ,Universal Bank ,Akta bank      ,Gorodskoy commerce bank ,Ukrinbank      ,Eurogasbank   ,Industrialbank ,MTB bank       ,Active bank    ,Zlatobank      ,Ukrgazbank      ,Taskombank    ,Platinum bank  ,Diamond bank   ,Buisness bank  ,Idea bank      ,FideComBank    ,Demark
35.45%             ,26.03%         ,22.09%          ,8.08%          ,3.7%            ,20.49%         ,33.77%         ,22.21%         ,13.57%          ,25.79%         ,6.32%           ,9.32%              ,7.22%          ,6.11%         ,5.19%          ,18.56%         ,9.49%         ,0.98%                             ,4%              ,19.7%           ,73.45%         ,19.66%             ,26.87%        ,4.46%            ,6.38%          ,18.77%         ,3.4%          ,13.98%        ,10.96%            ,7.65%          ,2.87%          ,15.94%         ,14.7%        ,8%                   ,9.45%           ,3.02%          ,33.6%          ,22.29%         ,12.9%          ,5.01%          ,3.75%          ,4.43%                   ,4.92%          ,3.35%         ,20.13%         ,21.18%         ,3.35%          ,6.97%          ,54.84%          ,4.37%         ,16.87%         ,2.23%          ,3.06%          ,14.55%         ,27.09%         ,10.82%
1                  ,1              ,1               ,3              ,5               ,2              ,1              ,1              ,3               ,1              ,4               ,3                  ,3              ,4             ,4              ,2              ,3             ,5                                 ,5               ,2               ,1              ,2                  ,1             ,4                ,4              ,2              ,5             ,3             ,3                 ,3              ,5              ,2              ,2            ,3                    ,3               ,5              ,1              ,1              ,3              ,4              ,5              ,4                       ,4              ,5             ,2              ,2              ,5              ,4              ,1               ,4             ,2              ,5              ,5              ,2              ,1              ,3
0%                 ,-0.84%         ,2.71%           ,-42.29%        ,21.18%          ,-4.6%          ,-10.43%        ,20.02%         ,8.59%           ,-0.81%         ,10.06%          ,4.82%              ,30.65%         ,0.38%         ,-13.35%        ,-6.53%         ,2.95%         ,0%                                ,0.5%            ,40.45%          ,0.72%          ,-0.44%             ,0%            ,39.23%           ,-3.17%         ,8.12%          ,58.54%        ,0.12%         ,10.86%            ,1.99%          ,47.9%          ,15.62%         ,0%           ,49.95%               ,91.51%          ,25.64%         ,-0.84%         ,20.05%         ,41.62%         ,-9.08%         ,18.19%         ,46.94%                  ,0.15%          ,17.45%        ,0%             ,15.91%         ,0%             ,41.08%         ,36.63%          ,21.34%        ,5.49%          ,26.18%         ,0%             ,4.42%          ,-13.79%        ,0%
5                  ,5              ,5               ,5              ,5               ,5              ,5              ,4              ,5               ,5              ,5               ,3                  ,5              ,3             ,5              ,5              ,3             ,3                                 ,3               ,5               ,5              ,2                  ,5             ,5                ,2              ,3              ,5             ,5             ,4                 ,3              ,5              ,4              ,2            ,5                    ,5               ,5              ,2              ,4              ,5              ,5              ,4              ,5                       ,3              ,4             ,3              ,4              ,3              ,5              ,5               ,4             ,5              ,5              ,3              ,5              ,1              ,3
1.13%              ,0.1%           ,0.32%           ,0.07%          ,1.36%           ,0.75%          ,0.02%          ,0.52%          ,0.03%           ,0.06%          ,0.89%           ,0.01%              ,0%             ,0.77%         ,0.92%          ,-6.77%         ,0.03%         ,0.2%                              ,0.03%           ,0.76%           ,-2.41%         ,0%                 ,0.14%         ,0.45%            ,0.11%          ,0%             ,0.06%         ,-1.8%         ,0.01%             ,0.21%          ,0.02%          ,0.07%          ,0.19%        ,0.14%                ,0.35%           ,0.02%          ,-1.2%          ,0.12%          ,0.3%           ,0.32%          ,0%             ,0.7%                    ,0.04%          ,0.03%         ,0.49%          ,0.04%          ,0.01%          ,0.01%          ,2.53%           ,1.53%         ,0.42%          ,0.02%          ,0.04%          ,0.12%          ,0.05%          ,0.04%
5                  ,3              ,4               ,3              ,5               ,5              ,3              ,5              ,3               ,3              ,5               ,3                  ,3              ,5             ,5              ,1              ,3             ,4                                 ,3               ,5               ,1              ,3                  ,4             ,4                ,4              ,3              ,3             ,1             ,3                 ,4              ,3              ,3              ,4            ,4                    ,4               ,3              ,1              ,4              ,4              ,4              ,3              ,5                       ,3              ,3             ,4              ,3              ,3              ,3              ,5               ,5             ,4              ,3              ,3              ,4              ,3              ,3
14.63%             ,14.36%         ,11.75%          ,33.67%         ,22.31%          ,8.34%          ,11.24%         ,18.46%         ,21.59%          ,19.69%         ,8.58%           ,7.91%              ,15.8%          ,25.04%        ,19.52%         ,7.5%           ,16.13%        ,12.8%                             ,5.25%           ,23.36%          ,35.98%         ,14.97%             ,54.05%        ,12.56%           ,16.02%         ,5.06%          ,20.36%        ,10.52%        ,10.55%            ,13.93%         ,45.04%         ,7.38%          ,57.16%       ,9.21%                ,26.48%          ,14.09%         ,7.87%          ,52.42%         ,19.27%         ,18.81%         ,27.53%         ,31.87%                  ,7.23%          ,4.56%         ,26.26%         ,17.9%          ,10.31%         ,4.19%          ,14.52%          ,8.34%         ,4.94%          ,5.63%          ,12.12%         ,8.54%          ,18.74%         ,6%
3                  ,3              ,2               ,5              ,4               ,2              ,2              ,4              ,4               ,4              ,2               ,2                  ,3              ,5             ,4              ,2              ,4             ,3                                 ,1               ,5               ,5              ,3                  ,5             ,3                ,4              ,1              ,4             ,2             ,2                 ,3              ,5              ,2              ,5            ,2                    ,5               ,3              ,2              ,5              ,4              ,4              ,5              ,5                       ,2              ,1             ,5              ,4              ,2              ,1              ,3               ,2             ,1              ,1              ,3              ,2              ,4              ,1
15.66%             ,19.63%         ,18.9%           ,9.66%          ,11.43%          ,12.33%         ,20.08%         ,13.51%         ,14.12%          ,16.27%         ,10.33%          ,8.83%              ,11.72%         ,17.89%        ,12.36%         ,14.03%         ,8.39%         ,16.23%                            ,16.24%          ,10.34%          ,20.81%         ,18.25%             ,27.25%        ,9.16%            ,12.97%         ,14.47%         ,5.92%         ,13.75%        ,8.43%             ,15.14%         ,12.06%         ,13.85%         ,17.82%       ,7.74%                ,6.67%           ,7.55%          ,13.26%         ,9.31%          ,7.97%          ,8.13%          ,9.55%          ,6.56%                   ,10.28%         ,8.62%         ,24.64%         ,21.37%         ,17.15%         ,6.68%          ,21.15%          ,12.78%        ,9.04%          ,7.87%          ,11.81%         ,13.22%         ,22.12%         ,10.34%
4                  ,5              ,5               ,2              ,3               ,3              ,5              ,4              ,4               ,4              ,2               ,2                  ,3              ,5             ,3              ,4              ,2             ,4                                 ,4               ,2               ,5              ,5                  ,5             ,2                ,3              ,4              ,1             ,4             ,2                 ,4              ,3              ,4              ,5            ,1                    ,1               ,1              ,4              ,2              ,1              ,2              ,2              ,1                       ,2              ,2             ,5              ,5              ,5              ,1              ,5               ,3             ,2              ,1              ,3              ,4              ,5              ,2
