credit agricole,urksocbank,ukrsibbank,sense bank,vtb bank,Procredit bank,pumb,raifizen bank aval,Prominvestbank,otp bank,praveks bank,oschad bank,ukreximbank,Ukrgazbank,Vseukrainsky bank for development,Sberbank,Kredo bank,VAB bank,National investments,Industrialbank,Mega bank,Delta bank,brolbuisnesbank,UKRBuisness bank,Active bank ,Fidobank,UPB,Nadra,BTA bank,Forum Bank ,Imbeks bank,Privatbank,Platinum bank,Idea bank,Diamond bank,Universal Bank,finance initiative,Kyivskaya rus ,Taskombank,Pivdenny,finance and credit,Abank,Chreschatyk,Terra bank,Pivdencombank,Ukrinbank,forward bank,Zlatobank,Akta bank,Gorodskoy commerce bank,Eurogasbank,Buisness bank,Express bank,Demark,Bank credit Dnepr,MTB bank 
3.63%,30.04%,7.44%,10.45%,20%,4.68%,20.94%,33.83%,17.68%,24.26%,72.2%,23.42%,22.94%,45.3%,1.01%,6.2%,13.26%,7.15%,6.36%,5.1%,6.47%,8.96%,3.77%,4.31%,4.09%,14.94%,5.35%,17.55%,24.47%,29.3%,16%,19.4%,19.11%,16.86%,2.24%,4.53%,20.02%,2.63%,4.42%,7.82%,8.98%,17.91%,9.39%,4.29%,2.88%,4.46%,15.55%,7.4%,3.37%,4.39%,3.54%,3.15%,15.47%,11.27%,13.3%,25.36%
5,1,3,3,2,4,2,1,2,2,1,2,2,1,5,4,3,3,4,4,4,3,5,4,4,3,4,2,2,1,2,2,2,2,5,4,2,5,4,3,3,2,3,4,5,4,2,3,5,4,5,5,2,3,3,1
25.48%,-10.35%,-38.44%,10.61%,-6.94%,-15.21%,9.5%,-0.3%,-6.61%,-0.87%,0.73%,2.81%,-0.87%,-2.05%,66.65%,6.28%,0.13%,46.67%,52.74%,0%,-4.69%,78.23%,0.53%,39.08%,0%,19.24%,-2.68%,11.94%,0%,0.3%,15.62%,31.51%,5.22%,31.21%,26.64%,-9.14%,-0.6%,11.21%,21.6%,2.41%,4.78%,20.06%,4.46%,47.9%,41.1%,1.75%,77.61%,51.84%,18.12%,26.18%,24.21%,0%,0%,0%,0.42%,15.91%
5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,3,2,5,3,5,3,4,2,4,5,3,4,5,5,5,4,5,2,4,4,3,3,4,3,5,5,3,5,5,4,4,4,3,2,3,3,4
1.73%,0.02%,-0.06%,0.04%,1.19%,1.52%,0.96%,1.6%,-6.45%,0.5%,-3.38%,0.54%,0.16%,3.89%,0.42%,1.43%,-2.27%,0.01%,0.28%,0.98%,0.24%,0.49%,0.03%,0.63%,0.02%,0.21%,0.79%,0.01%,0.15%,-2.08%,0.13%,0.92%,0.48%,0.21%,0.06%,0.32%,0.01%,0.02%,1.59%,0.34%,0.02%,0.32%,0.06%,0.02%,0.09%,0.05%,1.05%,0.02%,0%,0.7%,0.04%,0.05%,0.12%,0.05%,-0.41%,0.04%
5,3,2,3,5,5,5,5,1,4,1,4,3,5,4,5,1,3,4,5,4,4,3,4,3,4,4,3,3,1,3,5,4,4,3,4,3,3,5,4,3,4,3,3,3,3,5,3,3,4,3,3,3,3,2,3
16.93%,10.94%,30.91%,21.33%,10.24%,19.2%,28.87%,19.68%,8.57%,20.26%,25.01%,10.45%,12.17%,10.98%,17.93%,10.74%,12.15%,20.87%,5.96%,28.74%,11.1%,19.69%,4.82%,11.27%,19.33%,24.53%,25.17%,5.29%,46.05%,9.93%,6.77%,24.27%,5.5%,7.98%,12.88%,10.34%,19.39%,12.35%,11.98%,16.11%,8.4%,57.21%,17.34%,44.94%,16.88%,6.83%,17.57%,5.46%,24.46%,28.44%,6.3%,9.94%,66.47%,5.04%,10.93%,19.13%
3,2,5,4,2,4,5,4,2,4,5,2,3,2,3,2,3,4,1,5,3,4,1,3,4,4,5,1,5,2,1,4,1,2,3,2,4,3,3,3,2,5,3,5,3,1,3,1,4,5,1,2,5,1,2,4
11.35%,20.71%,9.89%,14.68%,12.99%,12.49%,12.96%,16.11%,13.23%,18.14%,21.43%,20.11%,19.76%,19.08%,13.91%,10.6%,12.36%,10.23%,6.64%,27.52%,13.28%,6.02%,16.77%,8.56%,15.05%,18.3%,15.63%,13.74%,26.83%,11.89%,13.41%,9.93%,8.06%,12.43%,7.26%,7.44%,16.51%,7.5%,13.11%,13.86%,8.54%,8.45%,8.07%,12.67%,5.5%,9.92%,8.81%,6.21%,9.34%,7.44%,7.9%,11.29%,17.3%,12%,8.82%,23.42%
3,5,2,4,3,3,3,4,4,5,5,5,5,5,4,2,3,2,1,5,4,1,4,2,4,5,4,4,5,3,4,2,2,3,1,1,4,1,4,4,2,2,2,3,1,2,2,1,2,1,1,3,5,3,2,5
