ukreximbank,oschad bank,Sberbank,ukrsibbank,credit agricole,Prominvestbank,urksocbank,Kredo bank,Ukrgazbank,sense bank,pumb,raifizen bank aval,Idea bank,Mega bank,vtb bank,Procredit bank,BTA bank,Zlatobank,VAB bank,UPB,MTB bank ,Privatbank,Universal Bank,otp bank,Bank credit Dnepr,praveks bank,Chreschatyk,Industrialbank,Nadra,Ukrinbank,Pivdenny,Delta bank,Gorodskoy commerce bank,Pivdencombank,Imbeks bank,Finbank,Platinum bank,National investments,Akta bank,forward bank,Terra bank,Bank National credit,Kyivskaya rus ,Demark,Fidobank,finance and credit,Diamond bank,Abank,Vseukrainsky bank for development,Eurogasbank,Active bank ,finance initiative,Taskombank,UKRBuisness bank
21.37%,24.71%,5.6%,5.88%,3.28%,7.84%,28.85%,15%,43.44%,8.82%,16.57%,32.72%,16.36%,5.93%,22.66%,4.41%,29.68%,7.1%,6.25%,6.12%,25.91%,16.63%,5.92%,20.21%,12.94%,46.06%,8.51%,7.88%,16.49%,4.23%,7.61%,7.75%,3.93%,4.02%,13.35%,0.6%,17.14%,5.41%,3.62%,17.54%,3.38%,4.21%,2.75%,10.43%,21.77%,8.73%,1.95%,18.37%,1.09%,3.32%,2.54%,18.38%,3.7%,1.9%
2,2,2,2,1,5,2,4,1,5,3,1,3,2,2,2,2,5,2,2,2,3,2,2,4,1,5,5,3,2,5,5,1,2,4,1,3,2,1,3,1,2,1,4,2,5,1,3,1,1,1,3,1,1
0.39%,3.66%,0.75%,-32.29%,17.75%,14.38%,-9.76%,0.13%,-2.01%,1.85%,-2.53%,-0.05%,51.48%,-15.48%,-2.39%,-15.17%,0%,28.04%,48.19%,-1.69%,15.91%,34.92%,-9.19%,-0.38%,-7.87%,0.72%,4.34%,0%,12.13%,1.42%,2.4%,55.42%,46.73%,25.31%,12.89%,52.15%,10.68%,32.66%,22.52%,74.36%,47.91%,7.01%,22.6%,0%,121.37%,4.3%,42.31%,20.08%,66.77%,24.17%,0%,-0.84%,31.81%,29.39%
5,5,5,5,5,5,5,5,5,5,2,5,5,1,5,5,5,4,5,2,4,5,5,5,2,3,3,3,4,3,3,5,5,4,4,5,4,5,4,5,5,3,4,3,5,3,5,4,5,4,3,2,5,4
0.22%,0.72%,1.84%,0.1%,2.7%,-6.35%,0.03%,0.01%,4.47%,0.05%,1.45%,1.6%,0.35%,0.39%,-0.65%,2.47%,0.2%,0.03%,0.01%,0.84%,0.03%,0.97%,0.06%,0.6%,-0.32%,-1.37%,0.08%,0.05%,0.01%,0.07%,0.54%,0.71%,0.67%,0.13%,0.2%,0.04%,0.72%,0.32%,0.01%,1.77%,0.04%,0.09%,0.05%,0.05%,0.32%,0.03%,0.12%,0.55%,0.58%,0.06%,0.04%,0.01%,1.6%,0.79%
3,5,5,3,5,1,3,3,5,3,5,5,4,4,2,5,3,3,3,5,3,5,3,4,2,1,3,3,3,3,4,5,4,3,3,3,5,4,3,5,3,3,3,3,4,3,3,4,4,3,3,3,5,5
13.07%,9.87%,11.43%,23.58%,16.54%,7.17%,12.57%,10.37%,11.95%,27.68%,18.99%,16.24%,10.19%,14.06%,13.17%,19.57%,63.59%,10.69%,18.47%,27.47%,17.37%,22.57%,9.81%,20.91%,12.06%,28.03%,18.63%,28.78%,6.42%,5.38%,8.7%,10.05%,27.91%,10.94%,8.6%,17.34%,12.99%,7.85%,31.58%,13.83%,32.08%,25.09%,15.86%,6.99%,11.79%,9.44%,19.23%,46.54%,20.58%,13.15%,17.22%,14.79%,7.17%,12.55%
3,2,2,4,4,1,3,2,2,5,4,4,2,3,3,4,5,2,4,5,4,4,2,4,3,5,4,5,1,1,1,2,5,2,1,4,3,1,5,3,5,5,3,1,2,2,4,5,4,3,4,3,1,3
19.17%,19.75%,10.45%,10.99%,11.78%,13.55%,20.13%,14.67%,19.01%,14.33%,14.01%,16.65%,11.77%,12.42%,12.68%,13.5%,25.71%,6.07%,9.98%,16.95%,24.75%,9.47%,8.32%,17.94%,9.78%,24.69%,8.02%,30.47%,12.96%,9.61%,15.04%,6.01%,9.29%,8.23%,12.72%,7.79%,7.23%,5.92%,8.73%,9.18%,11.76%,6.83%,6.68%,11.06%,22.07%,8.2%,5.85%,9.24%,12.38%,7.7%,14.65%,15.82%,12.62%,8.05%
5,5,3,3,3,4,5,4,5,4,4,4,3,3,3,4,5,1,2,4,5,2,2,5,2,5,2,5,3,2,4,1,2,2,3,1,1,1,2,2,3,1,1,3,5,2,1,2,3,1,4,4,3,2
