ukreximbank,credit agricole,sense bank,Procredit bank,otp bank,urksocbank,ukrsibbank,raifizen bank aval,oschad bank,Privatbank,Kredo bank,Ukrgazbank,Prominvestbank,Ukrinbank,pumb,Pivdenny,vtb bank,Fidobank,Chreschatyk,BTA bank,UPB,Sberbank,National investments,VAB bank,Urk Buisness Bank,Bank credit Dnepr,praveks bank,Taskombank,Nadra,MTB bank ,Mega bank,finance and credit,Delta bank,Eurogasbank,Platinum bank,forward bank,Imbeks bank,Finbank,Idea bank,finance initiative,Active bank ,Vseukr bank of development,Universal Bank,Gorodskoy commerce bank,Industrialbank,Zlatobank,Demark,Akta bank,Vseukrainsky bank for development,Abank,Diamond bank,Kyivskaya rus ,Terra bank,Bank National credit,UKRBuisness bank
23.67%,3.35%,10.84%,4.65%,21.45%,27.28%,8.91%,38.79%,23.25%,15.92%,10.81%,41.93%,5.64%,3.49%,14.07%,7.03%,12.69%,25.77%,8.84%,15.29%,6.64%,6.05%,4.87%,4.51%,0.88%,5.56%,35.13%,3.5%,19.51%,15.76%,5.93%,8.33%,7.89%,3.76%,20.71%,18.23%,14.1%,0.59%,10.79%,20.66%,2.91%,7.9%,6.72%,3.25%,8.82%,7.49%,10.74%,3.93%,1.57%,21.53%,1.85%,2.45%,3.37%,4.94%,4.22%
2,1,4,2,2,2,5,1,2,3,4,1,2,1,4,5,4,2,5,3,2,2,2,2,1,2,1,1,3,3,2,5,5,1,2,3,4,1,4,2,1,5,2,1,5,5,4,1,1,2,1,1,1,2,2
3.25%,20.4%,5.38%,-13.02%,6.23%,8.81%,-24.85%,7.83%,1.57%,36.74%,2.55%,-2.22%,20.18%,5.21%,-2.53%,4.53%,3.18%,121.39%,2.98%,0%,-1.75%,5.61%,36.03%,27.27%,3.54%,8.27%,2.53%,26.02%,14.22%,0%,-8.41%,10.27%,80.64%,23.39%,-0.22%,92.9%,14.44%,62.22%,73.73%,1.19%,0%,18.21%,-3.99%,45.27%,0%,33.42%,8.52%,23.93%,66.77%,20.06%,55.9%,22.44%,0%,6.54%,33.73%
5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,3,5,5,3,5,2,5,5,4,3,3,3,4,4,5,2,4,5,4,2,5,4,5,5,3,3,4,5,5,3,5,3,4,5,4,5,4,3,3,5
0.06%,1.75%,0.01%,0.5%,-3.4%,0.05%,-1.15%,-2.13%,0.15%,0.14%,1.13%,0.28%,1.24%,0.24%,0.38%,0.03%,4.59%,0%,0.02%,0.01%,0.01%,0.27%,0.02%,0%,0.38%,1.01%,2.34%,0.26%,0%,-3.88%,0.12%,-0.2%,0.12%,0.01%,-1.2%,0.1%,0.05%,0.73%,0.26%,0%,0.33%,0.75%,-0.88%,0.02%,0.03%,0.75%,-0.4%,2.82%,0.05%,-0.6%,0.03%,-0.18%,0.01%,0.02%,0.31%
3,5,3,4,1,3,1,1,4,4,5,4,5,4,4,3,5,3,3,3,3,4,3,3,4,5,5,4,3,1,4,2,4,3,1,4,3,5,4,3,4,5,1,3,3,5,1,5,3,1,3,2,3,3,4
14.56%,20.13%,40.67%,20.29%,21.6%,6%,20.12%,15.15%,9.27%,10.88%,8.92%,9.46%,7.94%,3.91%,23.31%,11.39%,7.35%,10.05%,14.99%,34.33%,14.64%,8.91%,11.09%,15.16%,21.94%,9.32%,29.8%,14.86%,5.22%,17.99%,10.29%,9.35%,11.54%,2.66%,4.74%,13.89%,13.64%,7.81%,5.87%,16.76%,11.11%,2.57%,8.89%,29.99%,24.64%,3.18%,19.83%,37.92%,15.28%,40.89%,16.37%,14.15%,13.97%,22.98%,10.64%
3,4,5,4,5,1,4,4,2,2,1,2,1,1,5,3,1,2,3,5,3,1,3,4,5,2,5,3,1,4,2,2,3,1,1,3,3,1,1,4,3,1,1,5,5,1,4,5,4,5,4,3,3,5,2
17.17%,11.34%,11.76%,12.01%,12.78%,18.52%,10.15%,15.09%,18.46%,10.6%,10.96%,21.05%,12.87%,9.21%,12.97%,13.09%,15.21%,21.14%,8.17%,41.69%,17.25%,9.01%,5.64%,12.76%,12.51%,9.92%,26.35%,10.35%,11.34%,21.37%,11.55%,8.95%,7.19%,9.86%,6.14%,8.51%,13.14%,7.98%,11.85%,14.71%,15.57%,14.73%,7.08%,9.59%,29.87%,6.96%,11.11%,9.37%,12.57%,9.9%,5.86%,6.53%,13.46%,6.49%,9.7%
5,3,3,4,4,5,3,5,5,3,3,5,4,2,4,4,5,5,2,5,5,2,1,4,4,2,5,3,3,5,3,2,1,2,1,2,4,1,3,4,5,4,1,2,5,1,3,2,4,2,1,1,4,1,2
