credit agricole,Procredit bank,otp bank,ukrsibbank,ukreximbank,Privatbank,oschad bank,raifizen bank aval,praveks bank,urksocbank,Idea bank,Kredo bank,Ukrgazbank,Chreschatyk,Imbeks bank,sense bank,Universal Bank,pumb,Prominvestbank,Abank,National investments,Fidobank,Ukrinbank,Pivdenny,Bank credit Dnepr,Urk Buisness Bank,vtb bank,Taskombank,Industrialbank,Sberbank,finance and credit,forward bank,Bank National credit,Mega bank,Platinum bank,Kyivskaya rus ,Zlatobank,Buisness bank,Nadra,UPB,Diamond bank,Akvant bank,Vseukr bank of development,Delta bank,Kambio bank,VAB bank,UKRBuisness bank,finance initiative,Demark,Gorodskoy commerce bank,Akta bank,Active bank ,Vseukrainsky bank for development,Terra bank
4.3%,4.93%,25.97%,10.89%,22.24%,14.82%,22.46%,42.34%,31.75%,26.19%,12.57%,10.52%,39.14%,9.55%,15.26%,13.12%,7.44%,13.14%,2.96%,28.43%,4.81%,27.31%,3.12%,7.04%,6.08%,0.86%,17.51%,4.36%,9.32%,8.71%,8.18%,21.06%,4.07%,6.25%,20.45%,2.53%,7.07%,2.86%,18.47%,6.57%,2.5%,1.1%,8.15%,8.23%,3.37%,4.95%,5.63%,18.9%,10.96%,3.33%,5.33%,3.03%,3.91%,2.63%
2,2,2,4,2,4,2,1,1,2,4,4,1,5,3,4,5,4,1,2,2,2,1,5,2,1,3,2,5,5,5,2,2,2,2,1,5,1,3,2,1,1,5,5,1,2,2,3,4,1,2,1,1,1
15.39%,-10.84%,8.64%,-27.75%,4.08%,20.9%,5.75%,10.91%,1.15%,10.53%,53.91%,3.27%,-2.9%,4.1%,13.2%,6.49%,7.01%,-2.53%,21.97%,20.05%,36.03%,121.39%,18.89%,6.42%,10.82%,3.81%,7.48%,18.25%,0%,6.89%,11.94%,55.01%,8.51%,-3.32%,4.59%,22.44%,36.39%,0%,17.42%,-2.85%,39.23%,-4.55%,11.63%,37.26%,5.97%,28.01%,16.73%,1.19%,8.52%,36.53%,12.9%,0%,85.59%,0%
5,5,5,5,5,4,5,5,3,5,5,5,5,3,4,5,5,2,5,4,4,4,4,3,4,3,5,4,2,5,4,5,3,2,3,4,4,3,4,2,4,2,4,4,3,4,4,3,3,4,4,3,4,3
2.95%,0.67%,-4.99%,-1.82%,0.11%,0.18%,0.31%,-2.28%,2.58%,0.03%,0.31%,1.12%,0.29%,-0.79%,0.09%,0.01%,-0.99%,0.62%,1.92%,0.05%,0.03%,0.02%,0.05%,0.24%,-0.51%,0.48%,3.62%,0.36%,0.15%,0.3%,-0.18%,0.17%,0.03%,0.3%,-1.5%,0.01%,0.04%,0.05%,0.01%,0.05%,0.07%,0.01%,1.17%,0.33%,0.02%,0%,0.35%,0%,-0.13%,0.08%,0%,0.18%,0.08%,0.01%
5,5,1,1,4,4,4,1,5,3,4,5,4,1,3,3,1,5,5,3,3,3,3,4,1,4,5,4,4,4,2,4,3,4,1,3,3,3,3,3,3,3,5,4,3,3,4,3,2,3,3,4,3,3
17.68%,20.11%,21.71%,28.54%,14.07%,13.57%,8.07%,12.99%,28.14%,8.09%,7.38%,10.61%,13.11%,21.82%,11.42%,30.11%,6.21%,16.3%,6.27%,60.89%,6.3%,11.78%,6.77%,10.66%,7.58%,23.92%,10.5%,10.87%,34.39%,7.61%,9.51%,18.42%,28.39%,11.71%,10.38%,12.36%,4.09%,11.55%,3.16%,7.34%,16.88%,16.51%,2.76%,12.77%,4.48%,10.63%,9.85%,21.9%,23.63%,28.7%,26.52%,0.06%,10.34%,15.58%
4,4,5,5,4,4,2,3,5,2,2,3,4,5,3,5,1,4,1,5,1,3,1,3,2,5,3,3,5,2,2,4,5,3,3,3,1,3,1,2,4,4,1,3,1,3,2,5,5,5,5,1,3,4
10.03%,10.83%,11.31%,9.23%,16.34%,10.21%,17.64%,14.23%,26.01%,18.55%,12.25%,10.54%,19.36%,7.09%,13.54%,11.91%,7.44%,13.56%,12.22%,9.79%,5.39%,21.48%,10.22%,12.82%,10.16%,11.05%,13.58%,10.6%,29.62%,9.18%,8.5%,10.26%,7.56%,11.5%,7.59%,6.72%,6.89%,9.85%,10.87%,18.1%,6.11%,13.39%,14.73%,8%,8.61%,12.42%,10.38%,12.87%,11.49%,9.98%,8.34%,16.27%,13.96%,12.96%
3,3,3,2,5,3,5,4,5,5,4,3,5,1,4,3,1,4,4,2,1,5,3,4,3,3,4,3,5,2,2,3,1,3,1,1,1,2,3,5,1,4,4,1,2,4,3,4,3,2,2,5,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.7,1.6,3.8,4.1,4.9,5,4.9,4.6,2.4,4.6,1.4,2.7,4,3.4,3.5,4.3,3,4.3,4.7,1,2.2,3.5,3.1,3.6,3.2,1.7,4.2,1.5,1.3,4.5,4.1,1.9,1.2,2.8,2.7,3.3,3.3,1.4,4.4,2,2.5,1.8,1.7,4.8,1.1,3.9,2.5,3.8,1.1,2.2,2.6,2.1,3,2.3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.01%,0.42%,1.61%,2.1%,4.52%,24.25%,7.79%,3.49%,0.5%,2.74%,0.39%,0.45%,1.51%,0.89%,1.21%,2.36%,0.61%,2.73%,1.86%,0.38%,0.4%,0.61%,0.67%,1%,0.79%,0.32%,1.15%,0.34%,0.25%,2.85%,3.12%,0.28%,0.27%,0.38%,1.01%,0.9%,0.72%,0.24%,1.31%,0.36%,0.39%,0.25%,0.25%,6.08%,0.24%,2.53%,0.27%,1.12%,0.24%,0.5%,0.47%,0.42%,0.42%,0.48%
4,2,4,5,5,5,5,5,2,5,2,2,4,3,4,5,3,5,4,2,2,3,3,4,3,2,4,2,1,5,5,1,1,2,4,4,3,1,4,2,2,1,1,5,1,5,1,4,1,3,2,2,2,2
271.68 млн грн,302.26 млн грн,923.1 млн грн,760.13 млн грн,1070.19 млн грн,-4927.02 млн грн,-9.68 млн грн,1445.14 млн грн,28.51 млн грн,376.57 млн грн,250.79 млн грн,138 млн грн,691.96 млн грн,257.48 млн грн,8.8 млн грн,822.61 млн грн,87.96 млн грн,117.84 млн грн,51.68 млн грн,140.01 млн грн,115.11 млн грн,405.88 млн грн,-189.62 млн грн,-168.62 млн грн,31.73 млн грн,-1.69 млн грн,-728.14 млн грн,30.72 млн грн,13.97 млн грн,-2419.42 млн грн,357.62 млн грн,-73.56 млн грн,131.18 млн грн,-130.52 млн грн,17.53 млн грн,-215.47 млн грн,14.28 млн грн,40.07 млн грн,-1039.55 млн грн,3.17 млн грн,8.08 млн грн,81.08 млн грн,29.3 млн грн,-558.57 млн грн,64.66 млн грн,-495.06 млн грн,-319.71 млн грн,-239.95 млн грн,5.45 млн грн,-54.01 млн грн,-305.9 млн грн,18.8 млн грн,-264.29 млн грн,130.63 млн грн
4,4,5,5,5,1,2,5,3,4,4,3,5,4,3,5,3,3,3,3,3,5,2,2,3,2,1,3,3,1,4,2,3,2,3,1,3,3,1,3,3,3,3,1,3,1,1,1,3,2,1,3,1,3
6.72%,20.28%,15.43%,9.24%,5.84%,-4.53%,-0.03%,10.71%,1.35%,3.32%,17.49%,7.69%,11.98%,7.25%,0.17%,8.87%,3.51%,1.02%,0.65%,9.39%,7.18%,18.49%,-6.16%,-3.8%,0.94%,-0.12%,-12.86%,2.16%,1.33%,-16.55%,2.75%,-5.87%,12.67%,-7.51%,0.41%,-5.27%,0.47%,4.07%,-15.61%,0.21%,0.49%,8.31%,2.8%,-2.1%,6.59%,-4.36%,-21.79%,-4.77%,0.52%,-2.45%,-13.09%,1.07%,-12.89%,6.8%
4,5,5,4,4,2,2,5,3,3,5,4,5,4,3,4,3,3,3,4,4,5,2,2,3,2,1,3,3,1,3,2,5,2,3,2,3,3,1,3,3,4,3,2,4,2,1,2,3,2,1,3,1,4
с 1993-02-10,с 2000-12-28,с 1998-03-02,с 1991-10-28,с 1992-01-23,с 1992-03-19,с 1991-12-31,с 1992-03-27,с 1992-12-29,с 1991-09-27,с 1991-10-22,с 1992-03-31,с 1993-07-21,с 1993-05-19,с 1994-03-29,с 1993-03-24,с 1994-01-20,с 1991-12-23,с 1992-08-26,с 1992-10-30,с 1993-11-05,с 1991-10-02,с 1991-10-02,с 1993-12-03,с 1993-07-07,с 2002-10-17,с 1992-11-11,с 1991-10-21,с 1991-10-16,с 2001-06-15,с 1991-10-30,с 2006-02-28,с 1996-01-01,с 1991-10-28,с 2005-01-13,с 1996-05-30,с 2008-05-16,с 2005-08-09,с 1993-10-26,с 1992-01-30,с 1993-11-17,с 2009-03-05,с 2002-10-17,с 2006-02-14,с 2004-01-01,с 1992-07-02,с 1993-05-18,с 2005-01-19,с 1992-07-10,с 2006-05-05,с 2008-04-23,с 2002-08-06,с 2009-04-30,с 1996-10-18
5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,3,5,4,5,3,4,5,3,4,2,3,5,5,5,2,4,3,4,5,5,3,5,3,2,4,2,4
0,0,0,0,0,0,0,0,0,0,0,0,нв-/рк-/ва-,0,нв-,тд-,0,тд-,ва-,0,0,0,0,0,0,0,0,0,0,0,тд-,0,ва-,0,0,0,0,0,нв-,0,0,0,нв,0,0,нв / тд,0,нв,нв,нв,нв,нв,0,нв
5,5,5,5,5,5,5,5,5,5,5,5,2,5,2,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,2,5,5,5,1,5,5,1,5,1,1,1,1,1,5,1
