credit agricole,oschad bank,ukrsibbank,raifizen bank aval,Kredo bank,ukreximbank,sense bank,Ukrgazbank,otp bank,Idea bank,Procredit bank,Privatbank,pumb,vtb bank,praveks bank,Pivdenny,urksocbank,Bank credit Dnepr,Sberbank,Akvant bank,Mega bank,National investments,UPB,Chreschatyk,Prominvestbank,finance and credit,Taskombank,Abank,Fidobank,Urk Buisness Bank,Diamond bank,Buisness bank,Industrialbank,Universal Bank,forward bank,Kyivskaya rus ,Imbeks bank,Ukrinbank,Platinum bank,Bank National credit,Delta bank,Nadra,Vseukr bank of development,Vseukrainsky bank for development,Zlatobank,UKRBuisness bank,finance initiative
7.15%,23.19%,12.9%,48.01%,8.57%,32.89%,12.6%,45.34%,28.43%,13.91%,5.26%,14.94%,15.98%,14.49%,32.59%,7.76%,33.5%,7.15%,9.04%,1.08%,6.35%,5.42%,6.5%,9.06%,3.66%,8.17%,5.17%,32.39%,32.21%,0.84%,2.85%,3.29%,13.29%,8.3%,30.35%,2.62%,16.3%,3.42%,18.64%,4.89%,7.95%,18.94%,9.8%,6.38%,7.21%,5.44%,13.94%
5,2,4,1,5,1,4,1,2,4,2,4,3,4,1,5,1,5,5,1,2,2,2,5,1,5,2,1,1,1,1,1,4,5,1,1,3,1,3,2,5,3,5,2,5,2,4
18.07%,9.39%,6.49%,13.44%,4.21%,5.54%,11.88%,-2.88%,10.87%,41.51%,-4.35%,19.08%,-2.54%,8.84%,-0.75%,7.74%,13.14%,14.13%,19.66%,10.13%,-0.76%,37.16%,-0.78%,5.56%,23.83%,21.75%,8.09%,20.07%,93.01%,4.16%,44.74%,0%,0%,4.58%,73.34%,14.08%,12.33%,20.87%,5.88%,19.73%,49.88%,18%,20.66%,8.85%,33.84%,18.55%,1.35%
5,5,5,5,5,5,5,5,5,5,5,4,2,5,2,3,5,4,5,4,2,4,2,3,5,4,3,4,4,3,4,3,2,5,5,4,4,4,3,4,4,4,4,3,4,4,3
2.34%,0.51%,-3.04%,-3.11%,1.49%,-3.5%,0%,0.03%,-6.45%,0.37%,1.19%,0.21%,0.19%,2.63%,-1.73%,0.32%,-3.52%,-0.42%,0.27%,0.01%,0.47%,0.04%,0.08%,-0.7%,2.36%,-0.17%,0.39%,0.33%,0.03%,0.64%,0.1%,0.07%,-1.45%,-0.85%,0.27%,0.01%,0.02%,0.31%,-2.34%,0.03%,0.39%,0.01%,1.24%,0.08%,0.05%,0.15%,0%
5,5,1,1,5,1,3,3,1,4,5,4,4,5,1,4,1,2,4,3,4,3,3,1,5,2,4,4,3,5,3,3,1,1,4,3,3,4,1,3,4,3,5,3,3,4,3
16.31%,11.34%,30.02%,14.52%,11.84%,16.92%,30.78%,10.15%,22.55%,4.57%,19.02%,11.35%,24.9%,8.46%,26.74%,10.19%,3.75%,8.23%,8.55%,22.09%,11.73%,6.55%,9.13%,20%,6.2%,8.09%,15.79%,68.06%,14.45%,28.47%,17.74%,12.07%,31.99%,9.35%,19.95%,15.93%,6.81%,6.09%,13.26%,31.33%,11.1%,1.82%,2.53%,15.01%,5.46%,10.39%,6.65%
4,3,5,4,3,4,5,3,4,1,4,3,5,2,5,3,1,2,2,4,3,2,2,4,2,2,4,5,4,5,4,3,5,2,4,4,2,2,3,5,3,1,1,4,1,3,2
9.19%,17.69%,8%,13.16%,10.02%,10.62%,11.23%,19.07%,9.46%,12.69%,9.78%,10.38%,12.56%,16.43%,19.98%,12.58%,15.89%,11.26%,8.84%,10.94%,11.47%,5.35%,17.27%,7.5%,12.26%,8.16%,10.56%,9.83%,23.55%,9.47%,5.61%,15.97%,27.97%,7.89%,11.74%,6.44%,13.87%,10.36%,6.95%,7.38%,7.78%,11.25%,15.8%,14.43%,6.87%,10.98%,14.98%
2,5,2,4,3,3,3,5,2,4,2,3,4,5,5,4,5,3,2,3,3,1,5,1,4,2,3,2,5,2,1,5,5,1,3,1,4,3,1,1,1,3,5,4,1,3,4
