ukrsibbank,raifizen bank aval,credit agricole,Procredit bank,oschad bank,ukreximbank,Kredo bank,sense bank,Ukrgazbank,Sberbank,urksocbank,International investment bank,vtb bank,pumb,Prominvestbank,Idea bank,Mega bank,Chreschatyk,praveks bank,otp bank,Universal Bank,Privatbank,Bank credit Dnepr,Urk Buisness Bank,MTB bank ,Diamond bank,National investments,UPB,Pivdenny,Abank,Taskombank,Fidobank,Buisness bank,Ukrinbank,Industrialbank,Akvant bank,Misto bank,Bank National credit,Fortuna bank,Kapital,finance initiative,Platinum bank,finance and credit
%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%
5,5,5,5,3,3,5,2,3,2,5,1,2,1,2,5,2,1,5,4,4,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-1.04%,-3.69%,0.43%,0.77%,0.06%,-3.19%,0.13%,-1.56%,-1.82%,-3.81%,-3.75%,0.14%,-2.62%,-0.87%,-0.26%,-2.07%,0.04%,-0.08%,-9.04%,-4.89%,-3.69%,0%,-3.24%,0.5%,-2.16%,1.15%,0.02%,0.01%,0.05%,0.21%,0.06%,-7.06%,0.01%,1.25%,-0.71%,0%,-0.44%,0.02%,-2.1%,0.01%,0%,0.75%,-1.89%
2,1,5,5,3,1,4,2,2,1,1,4,2,2,2,2,3,2,1,1,1,3,1,5,2,5,3,3,3,4,3,1,3,5,2,3,2,3,2,3,3,5,2
46.79%,26.85%,29.17%,24.76%,18.07%,21.67%,17.44%,20.81%,12.87%,5.27%,5.4%,47.43%,5.57%,17.49%,8.78%,5.34%,11.98%,18.09%,44.26%,6.49%,14.14%,12.15%,9.63%,26.24%,10.8%,27.53%,6.34%,20.8%,14.06%,52.16%,19.63%,12.96%,8.05%,5.24%,24.6%,30.41%,15.72%,8.06%,3.53%,3.26%,4.4%,9.83%,8.75%
5,5,5,5,4,4,4,4,3,1,1,5,1,4,2,1,3,4,5,2,3,3,2,5,2,5,2,4,3,5,4,3,2,1,5,5,3,2,1,1,1,2,2
4.21%,7.78%,6.76%,8.36%,14.6%,5.81%,6.95%,5.23%,5.27%,2.96%,17.52%,3.08%,7.6%,11.03%,8.75%,9.81%,8.46%,7.86%,17.88%,6.02%,4.56%,9.31%,5.05%,7.86%,17.24%,5.88%,6.76%,13.78%,10.72%,8.76%,9.29%,15.06%,10.22%,11.41%,26.56%,8.37%,14.95%,6.7%,10.15%,10.97%,14.68%,3.87%,5.51%
1,2,2,3,5,1,2,1,1,1,5,1,2,4,3,3,3,2,5,2,1,3,1,2,5,1,2,5,4,3,3,5,4,4,5,3,5,2,4,4,5,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.4,3.7,2.4,4.8,4.9,2.8,4.3,3.8,4.6,4.5,2.1,4.2,4,4.7,1.5,3.1,3.4,2.3,3.9,2.7,5,3.2,2.5,1.3,2.6,2,2,3.5,1.2,1.7,3.3,2.2,2.9,1.6,1.8,1.1,1.4,1.9,1,3.6,3,4.1
32.09,32.46,25.45,49.97,31.58,17.37,30.38,30.1,37.58,22.28,29.65,34.24,11.1,40.05,14.06,67.57,22.31,43.65,47.49,37.27,32.3,53.89,46.12,36.27,48.64,32.34,41.31,43.28,30.46,85.5,38.45,25.31,34.45,54.18,54.71,48.22,56.68,45.94,42.76,62.85,31.6,66.61,47.36
4,4,5,2,4,5,4,4,3,5,5,3,5,3,5,1,5,3,2,3,4,1,2,3,2,4,3,3,4,1,3,5,3,1,1,2,1,2,3,1,4,1,2
