credit agricole,ukrsibbank,raifizen bank aval,ukreximbank,Ukrgazbank,Procredit bank,Kredo bank,sense bank,oschad bank,Mega bank,International investment bank,Prominvestbank,Sberbank,vtb bank,urksocbank,National investments,Privatbank,Pivdenny,Taskombank,Idea bank,otp bank,praveks bank,pumb,Diamond bank,Fidobank,Chreschatyk,Urk Buisness Bank,Industrialbank,Universal Bank,Ukrinbank,Abank,Bank credit Dnepr,Myhailovsky,Buisness bank,finance and credit,Akvant bank,Fortuna bank,Platinum bank
%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%
5,5,5,3,3,5,5,2,3,2,1,2,2,2,5,1,2,1,1,5,4,5,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,2
0.65%,0.25%,-4.01%,-2.84%,-1.34%,1.14%,0.8%,-1.64%,-2.04%,0.06%,0.27%,-11.34%,-3.25%,-3.62%,-17.83%,0.03%,0.03%,0.11%,0.32%,-1.9%,-4.47%,-11.74%,-2.04%,0.04%,-9.51%,-0.04%,0.59%,0.46%,-2.93%,0.77%,0.33%,-6.18%,1.97%,0.03%,-4.93%,0.01%,-2.69%,0.36%
5,4,2,2,2,5,5,2,2,3,4,1,2,2,1,3,3,4,4,2,2,1,2,3,1,2,5,4,2,5,4,1,5,3,2,3,2,4
26.68%,41.6%,30.02%,19.25%,18.41%,21.74%,24.58%,15.74%,27.03%,17.04%,42.42%,11.65%,4.59%,3.92%,12.94%,5.53%,13.21%,20%,22.6%,9.84%,8.24%,24.07%,15.4%,28.53%,15.88%,11.39%,36.28%,26.98%,12.16%,5.89%,48.67%,13.31%,8.5%,10.46%,9.53%,18.74%,1.25%,1.35%
5,5,5,4,4,4,5,3,5,4,5,2,1,1,2,1,2,4,4,1,1,5,3,5,3,2,5,5,2,1,5,2,1,2,1,4,1,1
7.19%,5.2%,7.54%,8.23%,15.04%,9.71%,7.09%,5.58%,12.88%,10.11%,3.23%,11.16%,4%,7.47%,18.93%,7.26%,10.51%,11.08%,9.49%,10.85%,6.99%,20.61%,11.37%,4.81%,18.44%,8.21%,6.83%,28.65%,6.13%,12.34%,8.41%,7.28%,21.35%,10.62%,8.16%,9.68%,10.79%,4%
2,1,2,2,5,3,2,1,4,3,1,4,1,2,5,2,3,4,3,3,1,5,4,1,5,2,1,5,1,4,2,2,5,3,2,3,3,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5,3.9,4.5,4.8,3.7,2.2,2.9,4.2,4.9,3.1,2,4.7,4.6,4.1,4.4,1.8,5,3.4,1.6,1.2,3.6,1.9,3.8,2.4,3.2,3.3,2.3,1.3,2.5,2.6,1.1,2.8,1,2.1,4,1.4,1.5,2.7
24.01,30.13,32.4,17.07,38.31,46.85,30.76,30.66,31.87,22.93,29.65,15.76,21.95,11.17,34.2,48.06,55.5,28.59,33.71,70.5,36.52,55.34,42.44,29.99,29.39,45.28,27.53,52.91,32.17,54.21,77.45,51.81,57.14,30.97,47.56,50.89,42.56,67.95
5,4,4,5,3,2,4,4,4,5,5,5,5,5,3,2,1,5,3,1,3,1,3,5,5,2,5,1,4,1,1,1,1,4,2,1,3,1
1.28%,2.71%,4.17%,6.02%,2.23%,0.66%,0.59%,3.1%,10.93%,0.45%,0.35%,2.11%,2.95%,1.08%,3.34%,0.5%,31.67%,1.14%,0.29%,0.45%,2.04%,0.5%,3.42%,0.46%,0.53%,1.09%,0.42%,0.29%,0.52%,0.87%,0.49%,0.93%,0.3%,0.37%,4.51%,0.4%,0.36%,1.22%
4,5,5,5,5,3,3,5,5,2,1,5,5,4,5,2,5,4,1,1,5,2,5,2,2,4,1,1,2,3,2,3,1,1,5,1,1,4
 млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн
2.5,4,3.5,1,3.5,4.5,4.5,3,5,3.5,3,3,2.5,3,3.5,4.5,3,3,3,3.5,3,3,2.5,3,3,4,3,3.5,2.5,2.5,3.5,3,4.5,2.5,2,3.5,3,1.5
%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%
3,4,4.5,2.5,4,4.5,4.5,4,4,4,2.5,3,2.5,3,3,5,4.5,3,2.5,2.5,3.5,2.5,2.5,3,2,4,2.5,3,2.5,2.5,3,2.5,5,2.5,3,3.5,2.5,1.5
с 1993-02-10,с 1991-10-28,с 1992-03-27,с 1992-01-23,с 1993-07-21,с 2000-12-28,с 1992-03-31,с 1993-03-24,с 1991-12-31,с 1991-10-28,с 2008-03-11,с 1992-08-26,с 2001-06-15,с 1992-11-11,с 1991-09-27,с 1993-11-05,с 1992-03-19,с 1993-12-03,с 1991-10-21,с 1991-10-22,с 1998-03-02,с 1992-12-29,с 1991-12-23,с 1993-11-17,с 1991-10-02,с 1993-05-19,с 2002-10-17,с 1991-10-16,с 1994-01-20,с 1991-10-02,с 1992-10-30,с 1993-07-07,с 2013-06-14,с 2005-08-09,с 1991-10-30,с 2009-03-05,с 2002-10-17,с 2005-01-13
5,5,5,5,5,4,5,5,5,5,2,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,1,3,5,2,4,3
0,0,0,тд,нв-/рк-/ва-,0,0,тд-,реструкт,0,0,ва-,0,0,0,0,0,0,0,0,0,0,тд-,0,0,0,0,0,0,нв,0,0,0,0,нв,0,нв,нв
5,5,5,3,2,5,5,4,3,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,1,5,5,5,5,1,5,1,1
4.32,3.89,3.82,3.52,3.41,3.53,4.04,2.74,3.78,3.36,3,3.15,2.69,2.77,3.45,1.76,2.55,3.51,2.7,2.28,2.54,3.13,2.72,2.91,3.02,1.99,3.19,2.7,2.73,2.29,2.22,1.58,2.2,2.51,1.95,2.11,1.93,1.91
3.9,4.6,4.6,3.3,3.9,4.2,4.4,4.2,4.4,3.9,2.7,4,3.8,4,4.3,4.3,4.5,4,3.3,3.4,4.1,3.5,3.8,3.6,3.4,4.4,3.1,3.5,3.4,2.8,3.7,3.7,3.3,2.8,3.2,3,2.3,2.2
-95.47 млн грн,399.69 млн грн,1009.39 млн грн,-176.3 млн грн,1111.24 млн грн,109.01 млн грн,111.17 млн грн,710.94 млн грн,1738.04 млн грн,89.25 млн грн,3.97 млн грн,161.1 млн грн,109.88 млн грн,79.49 млн грн,351.04 млн грн,202.76 млн грн,6649.73 млн грн,249.15 млн грн,21.16 млн грн,112.58 млн грн,16.75 млн грн,8.82 млн грн,262.96 млн грн,90.77 млн грн,46.91 млн грн,58.87 млн грн,19.1 млн грн,20.39 млн грн,-8.82 млн грн,-3.06 млн грн,146.92 млн грн,143.19 млн грн,207.16 млн грн,-41.56 млн грн,-148.34 млн грн,-11.49 млн грн,-8.84 млн грн,-142.53 млн грн
-1.36 млн долл,-7.69 млн долл,-13.42 млн долл,-53.1 млн долл,-12.27 млн долл,2.23 млн долл,2.89 млн долл,-23.95 млн долл,11.64 млн долл,-0.8 млн долл,-4.45 млн долл,-9.77 млн долл,-36.56 млн долл,-5.76 млн долл,-18.95 млн долл,3.48 млн долл,-55.85 млн долл,-14.76 млн долл,-3.52 млн долл,-6.39 млн долл,-6.31 млн долл,-4.45 млн долл,-32.49 млн долл,-3.61 млн долл,-6.16 млн долл,5.36 млн долл,-5.69 млн долл,-2.26 млн долл,-3.41 млн долл,-6.7 млн долл,-5.5 млн долл,-11.77 млн долл,2.68 млн долл,-1.85 млн долл,-3.65 млн долл,0.74 млн долл,-0.4 млн долл,-10.43 млн долл
-4.97% грн,10.44% грн,12.99% грн,-2.43% грн,36.72% грн,10.57% грн,9.59% грн,17.32% грн,6.68% грн,11.42% грн,2.03% грн,4.7% грн,7.25% грн,5.45% грн,7.16% грн,41.9% грн,13.62% грн,22.43% грн,7.55% грн,9.6% грн,0.73% грн,1.02% грн,6.11% грн,12.74% грн,5.49% грн,2.68% грн,6.93% грн,4.84% грн,-1.49% грн,-0.23% грн,17.1% грн,12.9% грн,32.44% грн,-22.78% грн,-2.68% грн,-2.6% грн,-8.16% грн,-4.76% грн
-0.95% долл,-2.64% долл,-3.92% долл,-6.69% долл,-5.71% долл,3.63% долл,6.79% долл,-6.85% долл,1.86% долл,-1.99% долл,-7.66% долл,-4.51% долл,-7.51% долл,-4.6% долл,-5.15% долл,6.46% долл,-1.81% долл,-9.54% долл,-8.51% долл,-25.45% долл,-2.41% долл,-8.59% долл,-7.61% долл,-7.64% долл,-10.66% долл,6.49% долл,-8.59% долл,-6.7% долл,-4.96% долл,-6.73% долл,-12.31% долл,-9.87% долл,24.34% долл,-3.01% долл,-0.66% долл,1.49% долл,-0.67% долл,-11.2% долл
