Kredo bank,credit agricole,ukrsibbank,Ukrgazbank,Mega bank,sense bank,raifizen bank aval,urksocbank,Procredit bank,oschad bank,ukreximbank,Pivdenny,Urk Buisness Bank,praveks bank,otp bank,Chreschatyk,vtb bank,Prominvestbank,pumb,Idea bank,MTB bank ,Industrialbank,International investment bank,Sberbank,Bank credit Dnepr,Taskombank,Diamond bank,Abank,Privatbank,Universal Bank,Fidobank,Akvant bank,Buisness bank,Myhailovsky,Ukrinbank,Platinum bank,Fortuna bank
%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
иностр.A%,иностр.A%,иностр.A%,гос.%,иностр.Кв.%,иностр.С%,иностр.A%,иностр.A%,иностр.A%,гос.%,гос.%,отечеств.%,отечеств.%,иностр.A%,иностр.B%,отечеств.%,иностр.С%,иностр.С%,отечеств.%,иностр.A%,иностр.B%,отечеств.%,отечеств.%,иностр.С%,отечеств.%,отечеств.%,отечеств.%,отечеств.%,сист.%,иностр.B%,отечеств.%,отечеств.%,отечеств.%,отечеств.%,отечеств.%,иностр.С%,отечеств.%
5,5,5,3,2,2,5,5,5,3,3,1,1,5,4,1,2,2,1,5,4,1,1,2,1,1,1,1,2,4,1,1,1,1,1,2,1
1.7%,0.31%,0.28%,-0.66%,0.17%,-2.33%,-4.15%,-19.07%,1.47%,-3.79%,-6.26%,0.2%,0.72%,-20.94%,-5.73%,-1.7%,-52.64%,-11.69%,-1.56%,-5.22%,-4.74%,0.7%,0.39%,-3.2%,-7.48%,0.49%,0.01%,0.53%,0.04%,-1.43%,-15.23%,0.01%,0.04%,1.98%,0.03%,-2.37%,-3.1%
5,4,4,2,4,2,2,1,5,2,1,4,5,1,2,2,1,1,2,2,2,5,4,2,1,4,3,5,3,2,1,3,3,5,3,2,2
18.75%,30.26%,39.63%,18.96%,16.68%,24.95%,33.12%,8.15%,23.71%,28%,19.56%,22.63%,38.81%,17.77%,6.76%,16.23%,6.09%,10.34%,20.01%,11%,23.04%,25.46%,41.2%,4.84%,12.44%,14.07%,27.61%,49%,12.81%,11.25%,14.25%,4.91%,15.75%,10.1%,2.57%,5.45%,3.3%
4,5,5,4,3,4,5,2,4,5,4,4,5,4,1,3,1,2,4,2,4,4,5,1,2,3,5,5,2,2,3,1,3,2,1,1,1
12.07%,6.77%,4.91%,13.56%,9.6%,4.68%,7.3%,19.1%,9.07%,10.84%,4.65%,10.9%,6.44%,27.68%,5.62%,6.45%,10.03%,11.21%,11.27%,11.18%,13.87%,29.14%,3.27%,3.94%,5.82%,9.86%,4.75%,8.34%,10.45%,7.61%,17.17%,9.61%,10.21%,20.55%,15.08%,5.94%,15.26%
4,2,1,4,3,1,2,5,3,3,1,3,2,5,1,2,3,4,4,4,4,5,1,1,1,3,1,2,3,2,5,3,3,5,5,1,5
