credit agricole,Procredit bank,ukrsibbank,Kredo bank,raifizen bank aval,oschad bank,Ukrgazbank,otp bank,ukreximbank,Privatbank,pumb,urksocbank,sense bank,Mega bank,praveks bank,International investment bank,Pivdenny,Idea bank,Taskombank,MTB bank ,Bank credit Dnepr,Sberbank,Diamond bank,Universal Bank,Urk Buisness Bank,Industrialbank,Abank,vtb bank,Buisness bank,Fidobank,Prominvestbank,Myhailovsky,Fortuna bank,Platinum bank
%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
иностр.A%,иностр.A%,иностр.A%,иностр.A%,иностр.A%,гос.%,гос.%,иностр.B%,гос.%,сист.%,отечеств.%,иностр.A%,иностр.С%,иностр.Кв.%,иностр.A%,отечеств.%,отечеств.%,иностр.A%,отечеств.%,иностр.B%,отечеств.%,иностр.С%,отечеств.%,иностр.B%,отечеств.%,отечеств.%,отечеств.%,иностр.С%,отечеств.%,отечеств.%,иностр.С%,отечеств.%,отечеств.%,иностр.С%
5,5,5,5,5,3,3,4,3,2,1,5,2,2,5,1,1,5,1,4,1,2,1,4,1,1,1,2,1,1,2,1,1,2
1.99%,1.29%,0.07%,1.57%,-2.93%,-8.54%,0.83%,-13.35%,-10.57%,0.09%,-4.8%,-6.29%,-6.72%,0.3%,-16.2%,0.6%,0.3%,-10.33%,0.03%,-3.94%,3.75%,-12.84%,-0.05%,-33.33%,0.9%,0.84%,1.87%,-14.65%,0.24%,-14.72%,-42.99%,-3.11%,-2.14%,-7.33%
5,5,3,5,2,2,4,1,2,3,2,2,2,3,1,4,3,2,3,2,5,1,2,1,4,4,5,1,3,1,1,2,2,2
32.9%,36.95%,5.91%,20.9%,29.63%,22.35%,12.24%,5.5%,3.97%,19.43%,7.7%,27.45%,22.73%,18.63%,14.59%,38.24%,32.52%,12.79%,17.22%,23.12%,14.87%,5.79%,42.18%,15.44%,11.14%,20.04%,55.87%,4.49%,2.93%,5.22%,9.2%,13.78%,1.94%,4.48%
5,5,1,4,5,4,2,1,1,3,2,4,4,3,3,5,5,2,3,4,3,1,5,3,2,4,5,1,1,1,2,2,1,1
8.96%,6.99%,4.15%,10.03%,12.23%,4.61%,10.33%,7.78%,-2.21%,10.38%,9.74%,25.34%,6.19%,9.33%,35.09%,3.01%,10.27%,5.38%,9.07%,12.42%,0.42%,4.38%,5.25%,11.39%,6.47%,29.81%,8.17%,3.29%,9.99%,17.71%,-29.46%,14.28%,17.47%,2.39%
3,3,2,4,5,2,4,3,1,4,3,5,3,3,5,1,4,2,3,5,1,2,2,4,3,5,3,1,3,5,1,5,5,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5,2.9,4,2.8,4.6,4.9,4.2,3.8,4.8,5,4.5,4.4,4.3,2.1,1.8,1.6,3.4,2,1.2,1.1,3.1,3.9,2.2,2.5,2.3,1.4,2.7,3.2,1.7,2.6,3.7,1.5,1,3.3
25.88,46.8,26.12,36.45,35.89,35.48,29.45,45.28,16.88,58.42,41.2,33.66,30.99,23.53,52.52,26.47,30.7,66.34,32.82,40.96,49.38,21.36,28.96,40.84,32.31,60.16,80.38,18.48,31.13,38.06,14.82,55.19,41.14,71.16
5,2,5,3,3,3,4,2,5,1,2,3,4,5,1,5,4,1,3,2,2,5,4,2,3,1,1,5,4,3,5,1,2,1
1.37%,0.85%,2.72%,0.68%,4.04%,13.49%,2.74%,2.21%,6.1%,34.68%,3.5%,3.41%,3.08%,0.47%,0.42%,0.35%,1.35%,0.44%,0.28%,0.28%,0.93%,2.65%,0.49%,0.53%,0.5%,0.3%,0.62%,1.15%,0.38%,0.61%,2%,0.35%,0.27%,1.24%
4,3,5,3,5,5,5,4,5,5,5,5,5,2,1,1,4,1,1,1,3,5,2,2,2,1,2,4,1,2,4,1,1,4
 млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн
4,4.5,3.5,3.5,3.5,5,5,4.5,3.5,5,3,3.5,3.5,3.5,2,3,4.5,2.5,2.5,3.5,2.5,2,3,3,3,3,3.5,3.5,2.5,3.5,2.5,3.5,2,3
%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%
4,5,3,3.5,2.5,5,5,4.5,3,4,2.5,3,2.5,4,1.5,2.5,5,2,3,3.5,2.5,2.5,3,3.5,3,2.5,4.5,3.5,1.5,3.5,2,4,1,2.5
с 1993-02-10,с 2000-12-28,с 1991-10-28,с 1992-03-31,с 1992-03-27,с 1991-12-31,с 1993-07-21,с 1998-03-02,с 1992-01-23,с 1992-03-19,с 1991-12-23,с 1991-09-27,с 1993-03-24,с 1991-10-28,с 1992-12-29,с 2008-03-11,с 1993-12-03,с 1991-10-22,с 1991-10-21,с 1993-11-05,с 1993-07-07,с 2001-06-15,с 1993-11-17,с 1994-01-20,с 2002-10-17,с 1991-10-16,с 1992-10-30,с 1992-11-11,с 2005-08-09,с 1991-10-02,с 1992-08-26,с 2013-06-14,с 2002-10-17,с 2005-01-13
5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,2,5,5,5,5,5,4,5,5,4,5,5,5,3,5,5,1,4,3
0,0,0,0,0,реструкт,нв-/рк-/ва-,0,реструкт,реструкт,тд-,0,тд-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,нв,"нв, ва-",0,нв,нв
5,5,5,5,5,3,2,5,3,3,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,1
4.5,3.8,3.5,4,4.1,3.1,3.5,2.5,2.9,2.9,2.3,3.9,3.2,3.1,2.8,2.9,3.3,2.4,2.3,3,2.4,2.6,2.7,2.8,2.5,2.6,2.8,2.3,2.3,2.2,2.5,2,2,1.7
4.4,4.3,4.3,4,4.2,4.6,4.4,4.4,3.9,4.4,3.9,4.3,4,3.9,2.9,2.7,4.7,3.1,3.3,3.6,3.6,3.7,3.6,3.7,3.4,3.3,4,4.2,2.6,3,2.9,2.9,1.8,2.7
188.67 млн грн,296.82 млн грн,528.9 млн грн,282.53 млн грн,727.48 млн грн,7461.54 млн грн,1145.34 млн грн,342.54 млн грн,601.05 млн грн,8778.74 млн грн,1097.18 млн грн,948.06 млн грн,537.54 млн грн,101.9 млн грн,-13.04 млн грн,12.15 млн грн,459.69 млн грн,89.62 млн грн,243.67 млн грн,20.68 млн грн,183.21 млн грн,96.1 млн грн,182.74 млн грн,96.05 млн грн,78.73 млн грн,48.68 млн грн,246.62 млн грн,135.61 млн грн,-13.98 млн грн,313.17 млн грн,213.5 млн грн,19.56 млн грн,-5.05 млн грн,454.5 млн грн
7.72 млн долл,11.98 млн долл,-12.35 млн долл,-0.18 млн долл,-13.42 млн долл,85.08 млн долл,24.73 млн долл,6.76 млн долл,-11.85 млн долл,10.84 млн долл,-27.88 млн долл,-11.83 млн долл,-15.5 млн долл,1.04 млн долл,-6.55 млн долл,-1.75 млн долл,9.05 млн долл,-4.44 млн долл,-10.45 млн долл,0.33 млн долл,-10.29 млн долл,-20.36 млн долл,-1.75 млн долл,-0.68 млн долл,-2.95 млн долл,-0.91 млн долл,2.94 млн долл,0.04 млн долл,-2.17 млн долл,-1.42 млн долл,-16.66 млн долл,2.71 млн долл,-3.62 млн долл,-5.85 млн долл
11.01% грн,24.6% грн,12.92% грн,21.09% грн,8.83% грн,26.48% грн,27.47% грн,14.16% грн,8.45% грн,15.21% грн,23.28% грн,18.94% грн,10.92% грн,11.66% грн,-1.6% грн,7.09% грн,32.34% грн,6.41% грн,67.15% грн,6.64% грн,14.13% грн,5.99% грн,23.89% грн,17.27% грн,22.9% грн,11.03% грн,21.48% грн,8.27% грн,-9.73% грн,31.73% грн,6.27% грн,2.15% грн,-6.4% грн,16.21% грн
5.47% долл,17.99% долл,-4.53% долл,-0.39% долл,-4.3% долл,12.55% долл,11.72% долл,2.74% долл,-1.68% долл,0.36% долл,-7.55% долл,-3.57% долл,-5.15% долл,2.8% долл,-15.12% долл,-3.3% долл,6.56% долл,-28.93% долл,-32.06% долл,1.01% долл,-9.99% долл,-5.22% долл,-4.02% долл,-1.11% долл,-4.32% долл,-3.01% долл,7.08% долл,0.04% долл,-3.59% долл,-2.92% долл,-8.38% долл,15.66% долл,-7.91% долл,-7.56% долл
